MARKET GAS PRICE;
17.14;
17.26;
17.26;
17.10;
17.15;
17.2;
17.12;
16.98;
17.32;
17.32;
17.48;
17.22;
17.33;
17.36;
17.36;
17.51;
17.57;
17.57;
17.57;
17.63;
17.46;
17.3;
17.24;
17.44;
17.3;
17.52;
17.8;
17.82;
17.81;
17.79;
17.86;
17.89;
17.7;
17.61;
17.7;
17.81;
17.81;
18.07;
18.21;
18.21;
18.43;
18.58;
18.63;
18.94;
18.94;
19.39;
19.06;
19.26;
18.95;
18.95;
18.87;
18.65;
18.54;
18.46;
18.4;
18.16;
18.16;
18.2;
18.38;
18.04;
17.86;
17.93;
18.19;
18.47;
18.6;
18.7;
18.58;
18.77;
18.3;
18.36;
18.45;
18.77;
18.75;
18.99;
19.12;
19.15;
19.26;
19.19;
19.23;
19.25;
19.2;
19.12;
19.21;
18.9;
18.93;
19.15;
19.27;
19.08;
19.03;
19.26;
19.12;
19.1;
18.89;
18.77;
18.99;
19.07;
19.13;
19.42;
19.45;
19.69;
19.69;
19.95;
19.91;
19.87;
19.8;
19.99;
20.18;
20.08;
20.49;
20.93;
21.17;
20.98;
21.35;
21.14;
21.2;
20.73;
21.26;
21.46;
21.89;
21.77;
21.84;
22.01;
22.34;
22.36;
22.38;
22.58;
22.57;
22.77;
22.53;
22.61;
22.82;
22.88;
23.11;
23.43;
23.82;
23.36;
23.65;
23.87;
23.94;
24.33;
25.32;
26.27;
27.11;
27.25;
27.92;
28.49;
28.29;
29.55;
30.13;
28.61;
28.41;
28.26;
28.33;
28.65;
28.55;
29.01;
29.7;
29.9;
30.22;
30.12;
29.81;
29.92;
30.24;
30.19;
29.65;
28.54;
28.24;
27.95;
28.31;
28.71;
28.31;
28.45;
29;
28.63;
28.65;
27.5;
28.56;
28.76;
29.54;
29.71;
30.23;
29.6;
29.28;
29.73;
30.74;
31.83;
30.12;
31.49;
31.45;
31.73;
31.73;
31.8;
32.3;
33.06;
34.27;
32.78;
33.48;
33.73;
32.99;
33.05;
34.76;
35.12;
37.6;
39.07;
38.4;
37.26;
36.39;
35.51;
36.81;
37;
35.86;
34.21;
36.16;
37.89;
39.13;
39.74;
38.04;
37.92;
37.66;
37.07;
37.47;
37.2;
37.05;
36.7;
36.92;
37.7;
37.84;
39.21;
40.24;
41.8;
43.3;
46.64;
46.66;
43.81;
44.34;
44.7;
46.96;
46.43;
45.35;
45.09;
45.51;
44.22;
49.14;
47.65;
45.97;
45.86;
45.96;
46.09;
50.84;
55.28;
62.47;
53.23;
51.49;
55.06;
59.21;
59.97;
61.37;
69.36;
67;
63.8;
59.27;
60.55;
57.77;
57.44;
53.34;
53.14;
54.81;
55.54;
56.16;
60.26;
61.87;
59.88;
57.93;
57.4;
57.79;
57.48;
56.94;
58.92;
63.49;
65.55;
65.9;
68;
70.63;
73.34;
77.21;
73.83;
73.83;
73.83;
73.57;
76.95;
80.78;
78.95;
77.73;
74.63;
74.59;
74.2;
74.32;
69.92;
73.05;
78.16;
80.79;
79.44;
74.38;
74.85;
75.25;
76.64;
72.44;
73.16;
73.43;
71.26;
71.14;
71.49;
69.89;
70.34;
71.92;
72.46;
72.5;
73.18;
76.1;
76.04;
78.76;
78.94;
78.41;
77.29;
77.24;
76.59;
76.2;
76.68;
77.73;
81.36;
80.19;
77.93;
79.65;
82.95;
85.6;
87.98;
85.88;
86.07;
86.41;
91.96;
92.8;
93.77;
103.89;
107.31;
118.29;
128.34;
126.17;
124.21;
127.66;
130.08;
125.74;
115.35;
115.87;
114.54;
117.45;
116.24;
120.24;
124.36;
132.99;
128.75;
130.72;
133.68;
140.96;
145.05;
147.24;
148.41;
150.24;
152.48;
157.71;
170.25;
183.75;
182.9;
190.89;
198.93;
199.73;
213.94;
221.98;
240.38;
233.03;
248.73;
271.7;
292.37;
247.76;
209.68;
174.79;
175.26;
163.57;
187.61;
194.53;
190.64;
194.98;
181.17;
167.36;
167.87;
181.89;
191.44;
168.15;
165.45;
174.18;
176.47;
173.96;
172;
171.17;
178.72;
198.34;
181.35;
175.84;
164.7;
157.82;
175;
173.73;
164.41;
168.99;
170.84;
164.98;
155.49;
156.32;
152.72;
141.93;
137.37;
152.14;
146.2;
139.95;
140.75;
137;
138.5;
146;
135.65;
126.15;
127;
135;
125.5;
123.57;
127;
122.23;
121.75;
113;
117;
129;
129;
123;
124.75;
127.5;
131.57;
137.8;
133.5;
130.75;
131;
136.5;
140;
141.96;
139.5;
141.9;
138;
145.8;
149;
138.14;
136.2;
143.44;
136.9;
134.83;
124.77;
112.52;
109.25;
105;
98.5;
93.23;
92.38;
88.55;
90.12;
91.63;
89.5;
85.88;
84;
78;
75.94;
78.6;
81.75;
80.85;
74.88;
76;
77.9;
66.5;
65.05;
68;
69.86;
69;
74.8;
68.43;
68;
66.64;
63.74;
66.24;
67.5;
68.87;
66.82;
68.05;
66.59;
66.09;
64;
65.15;
63.5;
61.11;
61.4;
61.43;
60.3;
58.4;
59.18;
55.76;
57.19;
56.75;
59.35;
57.05;
55.93;
54.55;
54.37;
53.03;
51.2;
50.15;
52.35;
49;
55.05;
